,date,month,day,hour,min,disk,cpu_1,cpu_2,cpu_3,cpu_4,year,timestamp,time_diff,average
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 03:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 02:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 02:22:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 01:52:00,0 days 00:30:00,6.1499999999999995
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 01:22:00,0 days 00:30:00,6.1499999999999995
76,10,8,Sat,10,12,63.2,16.2,4.6,11.8,3.6,2019,2019-10-08 10:12:00,0 days 09:20:00,9.049999999999999
77,10,8,Sat,10,42,63.2,19.1,7.2,16.0,5.8,2019,2019-10-08 10:42:00,0 days 00:30:00,12.024999999999999
82,10,8,Sat,21,39,67.0,5.2,1.4,3.4,0.8,2019,2019-10-08 21:39:00,0 days 00:30:00,2.7
74,10,8,Sat,0,22,63.5,12.0,2.6,8.2,1.8,2019,2019-10-08 11:52:00,0 days 00:30:00,6.1499999999999995
0,4,8,Sun,14,27,66.6,40.8,12.2,73.5,10.2,2019,2019-04-08 14:27:00,0,34.175
16,4,8,Sun,23,13,66.7,8.2,2.1,5.8,1.5,2019,2019-04-08 23:13:00,0 days 00:30:00,4.3999999999999995
17,4,8,Sun,23,43,66.7,8.6,2.0,5.7,1.4,2019,2019-04-08 23:43:00,0 days 00:30:00,4.425
15,4,8,Sun,22,43,66.7,15.7,6.7,14.2,5.3,2019,2019-04-08 22:43:00,0 days 00:30:00,10.474999999999998
14,4,8,Sun,22,13,66.7,16.6,7.0,14.8,5.6,2019,2019-04-08 22:13:00,0 days 00:30:00,11.000000000000002
11,4,8,Sun,19,29,66.7,13.2,4.7,10.9,4.0,2019,2019-04-08 19:29:00,0 days 00:30:00,8.2
9,4,8,Sun,18,29,66.7,10.4,2.8,8.1,2.1,2019,2019-04-08 18:29:00,0 days 00:30:00,5.85
8,4,8,Sun,17,59,66.7,32.5,9.2,41.2,10.1,2019,2019-04-08 17:59:00,0 days 00:30:00,23.25
10,4,8,Sun,18,59,66.7,12.8,4.4,10.4,3.4,2019,2019-04-08 18:59:00,0 days 00:30:00,7.75
6,4,8,Sun,16,59,66.8,44.3,17.8,42.5,16.0,2019,2019-04-08 16:59:00,0 days 00:30:00,30.15
5,4,8,Sun,16,29,66.7,20.7,6.1,17.6,5.2,2019,2019-04-08 16:29:00,0 days 00:30:00,12.4
4,4,8,Sun,15,59,66.6,17.2,4.0,13.5,3.3,2019,2019-04-08 15:59:00,0 days 00:30:00,9.5
3,4,8,Sun,15,29,66.6,18.8,4.9,15.0,3.9,2019,2019-04-08 15:29:00,0 days 00:30:00,10.65
2,4,8,Sun,14,59,66.6,52.3,9.9,28.9,6.5,2019,2019-04-08 14:59:00,0 days 00:02:00,24.4
1,4,8,Sun,14,57,66.6,17.0,6.1,13.8,5.2,2019,2019-04-08 14:57:00,0 days 00:30:00,10.525000000000002
7,4,8,Sun,17,29,66.7,28.2,5.4,25.2,4.4,2019,2019-04-08 17:29:00,0 days 00:30:00,15.799999999999999
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 17:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 21:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 15:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 16:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 16:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 17:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-09 00:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 18:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 19:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 19:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 20:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 22:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 18:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 22:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-09 00:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 23:33:00,0 days 00:30:00,15.85
57,8,8,Thu,23,46,68.4,10.2,3.1,8.3,2.4,2019,2019-08-08 23:46:00,0 days 00:30:00,6.0
56,8,8,Thu,23,16,68.4,9.0,2.3,6.2,1.6,2019,2019-08-08 23:16:00,0 days 00:30:00,4.775
55,8,8,Thu,22,46,68.4,11.3,4.0,8.2,2.7,2019,2019-08-08 22:46:00,0 days 00:30:00,6.55
54,8,8,Thu,22,16,68.4,19.0,5.6,14.5,4.6,2019,2019-08-08 22:16:00,0 days 00:30:00,10.925
51,8,8,Thu,19,28,68.4,21.3,7.5,17.9,6.3,2019,2019-08-08 19:28:00,0 days 04:25:00,13.25
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 20:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-09 01:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-09 01:33:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-09 02:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 23:03:00,0 days 00:30:00,15.85
48,8,8,Thu,14,3,68.1,25.2,9.7,20.5,8.0,2019,2019-08-08 21:03:00,0 days 00:30:00,15.85
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 16:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 16:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 14:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 15:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 14:45:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 17:15:00,0 days 00:30:00,5.05
28,6,8,Tue,13,15,67.0,8.7,2.9,6.3,2.3,2019,2019-06-08 13:45:00,0 days 00:30:00,5.05
35,6,8,Tue,23,54,67.2,20.2,5.0,14.7,4.0,2019,2019-06-08 23:54:00,0 days 01:04:00,10.975
34,6,8,Tue,22,50,67.0,8.0,2.4,5.9,1.7,2019,2019-06-08 22:50:00,0 days 00:30:00,4.5
33,6,8,Tue,22,20,67.0,16.4,5.6,13.7,4.5,2019,2019-06-08 22:20:00,0 days 00:30:00,10.05
32,6,8,Tue,21,50,67.0,14.0,5.0,11.0,3.9,2019,2019-06-08 21:50:00,0 days 02:25:00,8.475
31,6,8,Tue,19,25,67.0,11.0,2.7,8.4,2.1,2019,2019-06-08 19:25:00,0 days 01:19:00,6.050000000000001
